danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.594,0.494,2,-4.262,1,0.0722,0.571,2.48e-05,0.206,0.486,180.132,https://api.spotify.com/v1/tracks/4228YpK0ZZuY4CZzBDVi3q,148298,moon and back,JVKE
0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,https://api.spotify.com/v1/tracks/2jdAk8ATWIL3dwT47XpRfu,242000,Slow Dancing in a Burning Room,John Mayer
0.828,0.619,9,-7.165,0,0.119,0.379,0.0,0.196,0.833,124.034,https://api.spotify.com/v1/tracks/4yQybo5ZwpAH1P8y5xNorb,158746,Minefield,Nic D
0.684,0.531,9,-7.037,0,0.0523,0.669,0.013,0.135,0.613,100.014,https://api.spotify.com/v1/tracks/5rpCUsEfBLIumvrxrahnKF,218400,Wishes,Hasan Raheem
0.558,0.438,5,-8.707,1,0.0275,0.522,0.000337,0.0993,0.382,120.661,https://api.spotify.com/v1/tracks/5jWYqrw9smZkVaxYU0ZbKk,194560,Goodbye Yellow Brick Road,Elton John
0.256,0.929,7,-6.667,1,0.113,0.00311,0.201,0.11,0.278,113.47,https://api.spotify.com/v1/tracks/0dqGfCMAGyDgpUAgLNOjWd,417227,Fade To Black (Remastered),Metallica
0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,https://api.spotify.com/v1/tracks/5O4erNlJ74PIF6kGol1ZrC,237000,Could You Be Loved,Bob Marley & The Wailers
0.522,0.728,3,-3.801,0,0.0323,0.00134,0.0,0.132,0.18,124.045,https://api.spotify.com/v1/tracks/3xby7fOyqmeON8jsnom0AT,321560,Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott
0.664,0.552,6,-6.285,0,0.0274,0.029,0.0,0.18,0.612,136.557,https://api.spotify.com/v1/tracks/2U28aK9o2gI7sBL4XRzFfL,217027,20cm,TOMORROW X TOGETHER
0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,222973,Mr. Brightside,The Killers
0.632,0.604,8,-6.23,0,0.0472,0.186,0.0,0.415,0.368,121.945,https://api.spotify.com/v1/tracks/1AUyzuh7CIr1yDYPTOgQQL,265464,MILK OF THE SIREN,Melanie Martinez
0.823,0.412,7,-8.809,1,0.282,0.109,0.000489,0.094,0.48,87.44,https://api.spotify.com/v1/tracks/5zQPY8KQNzanpGjeoNvTnr,338867,Love Of My Life (An Ode To Hip Hop),Erykah Badu
0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,https://api.spotify.com/v1/tracks/7tFiyTwD0nx5a1eklYtX2J,354320,Bohemian Rhapsody - Remastered 2011,Queen
0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,https://api.spotify.com/v1/tracks/0PurA4JVJ8YQgSVopY8fn6,245440,tolerate it,Taylor Swift
0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008,https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc,221747,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert
0.501,0.403,6,-11.106,0,0.119,0.234,0.0,0.267,0.111,118.352,https://api.spotify.com/v1/tracks/0sSRLXxknVTQDStgU1NqpY,399154,Hours In Silence,Drake
0.483,0.731,1,-6.696,1,0.0381,0.436,0.0,0.151,0.484,101.654,https://api.spotify.com/v1/tracks/08aW6cMPoz9etD0qlyy3Lo,204280,Riptide,Vance Joy
0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,138.005,https://api.spotify.com/v1/tracks/1kuGVB7EU95pJObxwvfwKS,219724,vampire,Olivia Rodrigo
0.455,0.621,0,-7.694,0,0.0517,0.651,2.59e-06,0.123,0.28,119.043,https://api.spotify.com/v1/tracks/4kjI1gwQZRKNDkw1nI475M,251250,MY EYES,Travis Scott
0.799,0.452,1,-7.641,0,0.0466,0.238,0.000133,0.0878,0.732,78.461,https://api.spotify.com/v1/tracks/4Nw7kywWurWS6ceinn1cHK,176760,Baby Powder,Jenevieve
0.455,0.707,0,-5.765,1,0.179,0.155,0.0,0.132,0.393,114.47,https://api.spotify.com/v1/tracks/5Mc8XDfGQCMkOEZm9rS1cE,160049,Red Button,Drake
0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u,177667,3 Nights,Dominic Fike
0.623,0.296,1,-8.036,1,0.0311,0.522,0.211,0.0801,0.158,129.949,https://api.spotify.com/v1/tracks/1knUACOt5yfNAYn7gnYQVt,224482,Work,Charlotte Day Wilson
0.686,0.84,10,-5.221,1,0.0694,0.119,0.0,0.107,0.704,152.122,https://api.spotify.com/v1/tracks/2rwJP8OEao5y3xexw52HfD,212653,Shadow,SEVENTEEN
0.501,0.445,7,-9.117,1,0.0369,0.614,0.0373,0.194,0.0549,106.627,https://api.spotify.com/v1/tracks/736PP5LTtREkDgktNmX3Gu,174513,Superpowers,Daniel Caesar
0.539,0.846,8,-3.192,1,0.0354,0.00631,1.71e-06,0.13,0.462,106.994,https://api.spotify.com/v1/tracks/2j1fFjWHCI9KJSwcuYAOyF,274097,Spring Day,BTS
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,391376,Hotel California - 2013 Remaster,Eagles
0.812,0.628,10,-6.164,0,0.0682,0.0634,0.0,0.254,0.485,123.004,https://api.spotify.com/v1/tracks/4PnNzWe1LJoAMD5j5RHpI0,207059,DEVASTATED,Joey Bada$$
0.494,0.805,4,-7.087,1,0.0422,0.256,0.0,0.356,0.465,119.026,https://api.spotify.com/v1/tracks/5ehcf6UL1TkwozB386cRAp,249093,Don't Stop Believin',Journey
0.665,0.686,0,-5.849,1,0.0268,0.0518,0.000176,0.174,0.275,96.848,https://api.spotify.com/v1/tracks/1qQSRy9DjrGh3jtsSCU6B1,185694,Never Tear Us Apart,INXS
0.59,0.795,5,-7.084,0,0.383,0.178,0.0,0.571,0.779,92.348,https://api.spotify.com/v1/tracks/6hezGXLMcnIRxzXoA7cYiP,171600,Kon Karne,MF DOOM
0.859,0.423,1,-10.698,0,0.283,0.543,0.0,0.104,0.563,125.89,https://api.spotify.com/v1/tracks/0du80hkIk5zQfc4oLNUfKx,138410,ARE YOU WITH THAT?,Vince Staples
0.462,0.336,7,-5.933,1,0.0349,0.115,1.36e-06,0.281,0.415,103.453,https://api.spotify.com/v1/tracks/3IbVm2Sr1fnF3wayNq1FgJ,247874,Medicine Hat,Pond
0.417,0.46,1,-11.07,1,0.0316,0.811,0.00068,0.126,0.55,140.626,https://api.spotify.com/v1/tracks/6RXlKsUmQgykm0Qt9DANwF,165707,Lead Me On,Maxine Nightingale
0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,https://api.spotify.com/v1/tracks/3vv9phIu6Y1vX3jcqaGz5Z,226739,Roses,The Chainsmokers
