danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.671,0.543,7,-5.45,0,0.0357,0.376,0.000209,0.11,0.112,124.051,https://api.spotify.com/v1/tracks/2dshtwEGNpyrE0x69wUiHj,170453,DEEP IN THE WATER,Don Toliver
0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,https://api.spotify.com/v1/tracks/4JehYebiI9JE8sR8MisGVb,261640,Halo,Beyoncé
0.765,0.796,9,-3.476,1,0.0356,0.0353,0.0,0.698,0.492,107.966,https://api.spotify.com/v1/tracks/42sqQTi2EqDPd6Iex66joE,190903,OBVIOUS,Fordo
0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,482830,Stairway to Heaven - Remaster,Led Zeppelin
0.665,0.655,2,-6.335,1,0.0535,0.00266,0.0,0.298,0.626,124.028,https://api.spotify.com/v1/tracks/2GDnUFJ1ZwP3ooFqQHY1ht,128512,ocd,ericdoa
0.798,0.629,11,-6.857,0,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,https://api.spotify.com/v1/tracks/6wOYnPq1hPihRepcDClPUw,284373,Meet Me Halfway,Black Eyed Peas
0.375,0.709,4,-6.34,1,0.0576,0.00506,0.0,0.163,0.384,169.1,https://api.spotify.com/v1/tracks/3cgf3PmzUZKLCRulrKrzZG,247051,Godlight,Noah Kahan
0.435,0.975,9,-4.361,0,0.0546,0.000946,0.071,0.176,0.322,102.48,https://api.spotify.com/v1/tracks/65yNr1EO2TOBEYCz45tuOf,175507,It Has To Be This Way - Platinum Mix,Jimmy Gnecco
0.788,0.816,11,-7.841,0,0.235,0.193,0.0,0.0638,0.835,150.005,https://api.spotify.com/v1/tracks/4boJYAy3ZQmCHp6xIKDJIx,156056,No Rap Cap,Glockboybobo
0.492,0.519,7,-6.886,1,0.0288,0.227,8.47e-05,0.0693,0.435,80.868,https://api.spotify.com/v1/tracks/5iJKGpnFfvbjZJeAtwXfCj,233333,28,Zach Bryan
